word	spam	ham	P(w_i|S)	P(w_i|H)
smth	0	12	0.0	0.00248704663212
1/08/03!	1	0	0.00133689839572	0.0
want	16	139	0.0213903743316	0.0288082901554
WOMEN.,,	0	1	0.0	0.00020725388601
HUNNY!HOPE	0	1	0.0	0.00020725388601
61200	2	0	0.00267379679144	0.0
cancel,	0	1	0.0	0.00020725388601
hon	0	1	0.0	0.00020725388601
hoo	0	1	0.0	0.00020725388601
hol	0	1	0.0	0.00020725388601
MORAL:	0	3	0.0	0.000621761658031
Jst	1	0	0.00133689839572	0.0
how	3	108	0.00401069518717	0.0223834196891
hot	7	5	0.00935828877005	0.00103626943005
abj,,	0	1	0.0	0.00020725388601
hos	0	1	0.0	0.00020725388601
hop	0	7	0.0	0.00145077720207
chase	0	2	0.0	0.000414507772021
dey.i	0	1	0.0	0.00020725388601
A	15	81	0.0200534759358	0.0167875647668
yuo	0	4	0.0	0.000829015544041
beauty	0	1	0.0	0.00020725388601
else?,,	0	4	0.0	0.000829015544041
summon	0	1	0.0	0.00020725388601
yun	0	2	0.0	0.000414507772021
hug..	0	1	0.0	0.00020725388601
8.30.,,	0	1	0.0	0.00020725388601
Haha,	0	8	0.0	0.00165803108808
wrong	0	10	0.0	0.0020725388601
(nat	2	0	0.00267379679144	0.0
that.i	0	1	0.0	0.00020725388601
bsnl	0	1	0.0	0.00020725388601
Tenants	4	0	0.00534759358289	0.0
types	1	0	0.00133689839572	0.0
aroundn	0	1	0.0	0.00020725388601
sound...	0	1	0.0	0.00020725388601
Hoping	0	1	0.0	0.00020725388601
ho!	0	1	0.0	0.00020725388601
ho.	0	3	0.0	0.000621761658031
wins	0	3	0.0	0.000621761658031
attracts	0	1	0.0	0.00020725388601
UNLIMITED	6	0	0.00802139037433	0.0
age16	3	0	0.00401069518717	0.0
CustCare:08718720201,,	1	0	0.00133689839572	0.0
out--have	0	1	0.0	0.00020725388601
everyso	0	1	0.0	0.00020725388601
What????	0	1	0.0	0.00020725388601
shop.,,	0	1	0.0	0.00020725388601
Another	0	3	0.0	0.000621761658031
keeps	0	2	0.0	0.000414507772021
Desires...,	0	1	0.0	0.00020725388601
lotsly!,,	0	1	0.0	0.00020725388601
hit.,,	0	1	0.0	0.00020725388601
wind	0	1	0.0	0.00020725388601
wine	0	7	0.0	0.00145077720207
school.	0	3	0.0	0.000621761658031
HOTMIX	1	0	0.00133689839572	0.0
08715205273,,	1	0	0.00133689839572	0.0
dramastorm's	0	1	0.0	0.00020725388601
vary	2	0	0.00267379679144	0.0
FEEL	0	2	0.0	0.000414507772021
voucher.	1	0	0.00133689839572	0.0
www.SMS.ac/u/nat27081980	2	0	0.00267379679144	0.0
voucher,	2	0	0.00267379679144	0.0
BLOKES,,	0	1	0.0	0.00020725388601
BABES	0	1	0.0	0.00020725388601
Toll	0	3	0.0	0.000621761658031
TRUE	0	1	0.0	0.00020725388601
BABE,PROBPOP	0	1	0.0	0.00020725388601
msg.	4	2	0.00534759358289	0.000414507772021
lovingly	0	2	0.0	0.000414507772021
fit	1	1	0.00133689839572	0.00020725388601
died,	0	2	0.0	0.000414507772021
night....,	0	1	0.0	0.00020725388601
screaming	0	2	0.0	0.000414507772021
fix	0	5	0.0	0.00103626943005
ready!	1	0	0.00133689839572	0.0
4eva	0	1	0.0	0.00020725388601
matured	0	4	0.0	0.000829015544041
approve	0	1	0.0	0.00020725388601
09095350301	1	0	0.00133689839572	0.0
bookshelf,,	0	1	0.0	0.00020725388601
Him	1	0	0.00133689839572	0.0
ready.	0	1	0.0	0.00020725388601
welcome.	3	1	0.00401069518717	0.00020725388601
26.03.05,,	1	0	0.00133689839572	0.0
duvet	0	1	0.0	0.00020725388601
percentages.,,	0	1	0.0	0.00020725388601
MIDNIGHT	0	1	0.0	0.00020725388601
vouchers	15	0	0.0200534759358	0.0
free?	0	1	0.0	0.00020725388601
husband.,,	0	1	0.0	0.00020725388601
Gee...,,	0	1	0.0	0.00020725388601
STOPCS	1	0	0.00133689839572	0.0
NEVA	0	2	0.0	0.000414507772021
effects	0	1	0.0	0.00020725388601
08714712412	1	0	0.00133689839572	0.0
go2sri	0	1	0.0	0.00020725388601
Expires,,	2	0	0.00267379679144	0.0
prize	44	0	0.0588235294118	0.0
rumour	0	2	0.0	0.000414507772021
BABE!	0	2	0.0	0.000414507772021
den...,,	0	1	0.0	0.00020725388601
BABE,	0	1	0.0	0.00020725388601
energy..,,	0	1	0.0	0.00020725388601
days,,	1	3	0.00133689839572	0.000621761658031
Hi!	0	4	0.0	0.000829015544041
QlynnBV	1	0	0.00133689839572	0.0
Hi'	0	1	0.0	0.00020725388601
addicted	0	4	0.0	0.000829015544041
Evry	0	1	0.0	0.00020725388601
Hi,	2	6	0.00267379679144	0.00124352331606
GOWER	0	1	0.0	0.00020725388601
Hi.	1	7	0.00133689839572	0.00145077720207
four,	0	1	0.0	0.00020725388601
bright	0	2	0.0	0.000414507772021
it‰Û÷s	0	1	0.0	0.00020725388601
financial	0	1	0.0	0.00020725388601
something.	0	2	0.0	0.000414507772021
series	0	3	0.0	0.000621761658031
prob...	0	1	0.0	0.00020725388601
BOX42WR29C,	1	0	0.00133689839572	0.0
dodda	0	1	0.0	0.00020725388601
bowls	0	1	0.0	0.00020725388601
wednesday	0	4	0.0	0.000829015544041
sachin.just	0	1	0.0	0.00020725388601
laugh?	1	0	0.00133689839572	0.0
we'd	0	1	0.0	0.00020725388601
2day	4	2	0.00534759358289	0.000414507772021
81303.	1	0	0.00133689839572	0.0
ring	1	9	0.00133689839572	0.00186528497409
self.	0	1	0.0	0.00020725388601
weds	0	1	0.0	0.00020725388601
tell.	0	2	0.0	0.000414507772021
home...	0	2	0.0	0.000414507772021
rs	0	4	0.0	0.000829015544041
ha	0	7	0.0	0.00145077720207
syd	0	1	0.0	0.00020725388601
sms	3	11	0.00401069518717	0.00227979274611
@kiosk.	1	0	0.00133689839572	0.0
No..its	0	1	0.0	0.00020725388601
rd	0	3	0.0	0.000621761658031
re	9	8	0.0120320855615	0.00165803108808
cuppa,,	0	1	0.0	0.00020725388601
sunday,,	0	1	0.0	0.00020725388601
long!,,	0	1	0.0	0.00020725388601
at?	0	1	0.0	0.00020725388601
size	0	2	0.0	0.000414507772021
Super	1	2	0.00133689839572	0.000414507772021
SPECIAL	3	0	0.00401069518717	0.0
08712402902	1	0	0.00133689839572	0.0
y.,,	0	1	0.0	0.00020725388601
University	0	1	0.0	0.00020725388601
weed-deficient	0	1	0.0	0.00020725388601
CL.	0	1	0.0	0.00020725388601
informed.Rgds,Rakhesh,Kerala.,,	0	1	0.0	0.00020725388601
PREMIER.,,	1	0	0.00133689839572	0.0
sing?,,	0	1	0.0	0.00020725388601
XXX.	0	1	0.0	0.00020725388601
nauseous.	0	1	0.0	0.00020725388601
born,	0	2	0.0	0.000414507772021
snake.	0	1	0.0	0.00020725388601
sheet	0	1	0.0	0.00020725388601
returning	0	1	0.0	0.00020725388601
TWILIGHT	2	0	0.00267379679144	0.0
ass!!,,	0	1	0.0	0.00020725388601
ate	0	4	0.0	0.000829015544041
feb-april	0	1	0.0	0.00020725388601
laptop...,,	0	1	0.0	0.00020725388601
ANYTHING	0	1	0.0	0.00020725388601
dreams,	0	3	0.0	0.000621761658031
atm	0	1	0.0	0.00020725388601
nyt..,,	0	2	0.0	0.000414507772021
bus?,,	0	1	0.0	0.00020725388601
elaine,	0	2	0.0	0.000414507772021
shipped	0	1	0.0	0.00020725388601
work...,,	0	1	0.0	0.00020725388601
Chat	9	0	0.0120320855615	0.0
clothes	0	1	0.0	0.00020725388601
BACK	0	5	0.0	0.00103626943005
MOBNO	2	0	0.00267379679144	0.0
gibbs.,,	0	1	0.0	0.00020725388601
OTBox	1	0	0.00133689839572	0.0
permission.,,	0	1	0.0	0.00020725388601
timin	0	1	0.0	0.00020725388601
Dun	0	9	0.0	0.00186528497409
MATE!	0	1	0.0	0.00020725388601
INDYAROCKS.COM	0	1	0.0	0.00020725388601
Please	34	30	0.0454545454545	0.00621761658031
veggie	0	1	0.0	0.00020725388601
reward!	3	0	0.00401069518717	0.0
kfc	0	1	0.0	0.00020725388601
177	1	0	0.00133689839572	0.0
force	0	2	0.0	0.000414507772021
worries.	0	1	0.0	0.00020725388601
reward.	3	0	0.00401069518717	0.0
her.	0	11	0.0	0.00227979274611
asap.	1	0	0.00133689839572	0.0
fakeye's	0	1	0.0	0.00020725388601
www.cashbin.co.uk	1	0	0.00133689839572	0.0
\ALRITE	0	1	0.0	0.00020725388601
service	40	2	0.0534759358289	0.000414507772021
09061743386	1	0	0.00133689839572	0.0
engagement	0	1	0.0	0.00020725388601
SEE	0	3	0.0	0.000621761658031
xin	0	1	0.0	0.00020725388601
needed	0	2	0.0	0.000414507772021
SED	1	0	0.00133689839572	0.0
Mmmm....	0	1	0.0	0.00020725388601
listed	0	1	0.0	0.00020725388601
live:),,	0	1	0.0	0.00020725388601
itwhichturnedinto	0	2	0.0	0.000414507772021
sure,	0	4	0.0	0.000829015544041
easy.	2	3	0.00267379679144	0.000621761658031
sure.	0	5	0.0	0.00103626943005
easy,	8	4	0.0106951871658	0.000829015544041
Limited	0	1	0.0	0.00020725388601
Peaceful	0	1	0.0	0.00020725388601
NUMBER-SO	0	1	0.0	0.00020725388601
wisdom	0	1	0.0	0.00020725388601
Cute:	0	2	0.0	0.000414507772021
screwd,,	0	1	0.0	0.00020725388601
was.	0	1	0.0	0.00020725388601
evil	0	1	0.0	0.00020725388601
Daddy	0	3	0.0	0.000621761658031
horrible	0	2	0.0	0.000414507772021
Vote.	1	0	0.00133689839572	0.0
Beautiful	0	6	0.0	0.00124352331606
trek	0	1	0.0	0.00020725388601
Code	4	0	0.00534759358289	0.0
Nights.	0	1	0.0	0.00020725388601
Matthew	1	0	0.00133689839572	0.0
tree	0	3	0.0	0.000621761658031
likely	0	2	0.0	0.000414507772021
mrt,,	0	1	0.0	0.00020725388601
shower	0	5	0.0	0.00103626943005
Croydon	7	0	0.00935828877005	0.0
dubsack	0	1	0.0	0.00020725388601
bridgwater	0	1	0.0	0.00020725388601
Sir,Salam	0	1	0.0	0.00020725388601
\What	0	3	0.0	0.000621761658031
MO..yeP.	0	1	0.0	0.00020725388601
feeling	2	15	0.00267379679144	0.00310880829016
3750	1	0	0.00133689839572	0.0
old.	0	2	0.0	0.000414507772021
Holla	0	1	0.0	0.00020725388601
bhayandar	0	1	0.0	0.00020725388601
WK.	3	0	0.00401069518717	0.0
boston	0	3	0.0	0.000621761658031
09061749602	1	0	0.00133689839572	0.0
it...	0	5	0.0	0.00103626943005
Mnths?	2	0	0.00267379679144	0.0
well,	0	7	0.0	0.00145077720207
T-Mobile.	1	0	0.00133689839572	0.0
well.	0	5	0.0	0.00103626943005
+GET	0	1	0.0	0.00020725388601
WK?	0	1	0.0	0.00020725388601
Pa.,,	0	2	0.0	0.000414507772021
noncomittal,,	0	1	0.0	0.00020725388601
well!	0	2	0.0	0.000414507772021
10p	8	0	0.0106951871658	0.0
www.07781482378.com,,	2	0	0.00267379679144	0.0
Then	2	55	0.00267379679144	0.0113989637306
Them	0	1	0.0	0.00020725388601
guys.	3	1	0.00401069518717	0.00020725388601
mostly	0	1	0.0	0.00020725388601
flippin	0	1	0.0	0.00020725388601
pics,	1	0	0.00133689839572	0.0
pics.	1	1	0.00133689839572	0.00020725388601
responsible	1	0	0.00133689839572	0.0
witot	0	1	0.0	0.00020725388601
Rate	1	0	0.00133689839572	0.0
andros	0	2	0.0	0.000414507772021
cute:)	0	1	0.0	0.00020725388601
RP176781.	1	0	0.00133689839572	0.0
causing	0	2	0.0	0.000414507772021
They	2	30	0.00267379679144	0.00621761658031
hum	0	1	0.0	0.00020725388601
Ask	0	3	0.0	0.000621761658031
them?,,	0	1	0.0	0.00020725388601
DeliveredTomorrow?	3	0	0.00401069518717	0.0
pretsorginta,	0	1	0.0	0.00020725388601
Bani	0	1	0.0	0.00020725388601
Bank	0	1	0.0	0.00020725388601
shall	0	19	0.0	0.0039378238342
Wish	0	12	0.0	0.00248704663212
doin	0	7	0.0	0.00145077720207
seemed.	0	1	0.0	0.00020725388601
victoria	0	1	0.0	0.00020725388601
y	0	21	0.0	0.00435233160622
?.	1	0	0.00133689839572	0.0
errors	0	1	0.0	0.00020725388601
mouth	0	1	0.0	0.00020725388601
fast.	0	1	0.0	0.00020725388601
letter	0	3	0.0	0.000621761658031
long,	0	2	0.0	0.000414507772021
pain.it	0	1	0.0	0.00020725388601
yogasana?	0	1	0.0	0.00020725388601
thing...,,	0	1	0.0	0.00020725388601
7cfca1a,,	1	0	0.00133689839572	0.0
thriller	0	1	0.0	0.00020725388601
seconds.	0	1	0.0	0.00020725388601
pic?Txt	1	0	0.00133689839572	0.0
Whats	1	2	0.00133689839572	0.000414507772021
Enna	0	1	0.0	0.00020725388601
exam,,	0	1	0.0	0.00020725388601
door,	1	1	0.00133689839572	0.00020725388601
camp	0	1	0.0	0.00020725388601
affair?	0	1	0.0	0.00020725388601
VCo	1	0	0.00133689839572	0.0
41685	2	0	0.00267379679144	0.0
tech	0	2	0.0	0.000414507772021
neekunna	0	1	0.0	0.00020725388601
08718723815.,,	1	0	0.00133689839572	0.0
scream	0	5	0.0	0.00103626943005
came	1	25	0.00133689839572	0.00518134715026
saying	0	20	0.0	0.00414507772021
\Aww	0	1	0.0	0.00020725388601
bomb	0	1	0.0	0.00020725388601
gives.	0	1	0.0	0.00020725388601
O.	0	2	0.0	0.000414507772021
insects	0	1	0.0	0.00020725388601
ajith	0	1	0.0	0.00020725388601
advisors	1	0	0.00133689839572	0.0
days.so	0	1	0.0	0.00020725388601
HMV1	1	0	0.00133689839572	0.0
texted.	0	2	0.0	0.000414507772021
www.Ldew.com1win150ppmx3age16,,	3	0	0.00401069518717	0.0
62220Cncl	1	0	0.00133689839572	0.0
gauge	0	1	0.0	0.00020725388601
cooking	0	1	0.0	0.00020725388601
participate	0	1	0.0	0.00020725388601
SORRY	0	4	0.0	0.000829015544041
*I'm	0	3	0.0	0.000621761658031
nannys	0	1	0.0	0.00020725388601
lessons	0	3	0.0	0.000621761658031
busy	1	11	0.00133689839572	0.00227979274611
u'll	0	5	0.0	0.00103626943005
Captain	0	2	0.0	0.000414507772021
POSTCARD	0	2	0.0	0.000414507772021
menu	0	2	0.0	0.000414507772021
well..take	0	2	0.0	0.000414507772021
appreciated	0	1	0.0	0.00020725388601
%.	0	1	0.0	0.00020725388601
LIVE	8	0	0.0106951871658	0.0
Immediately.	0	3	0.0	0.000621761658031
touched	0	2	0.0	0.000414507772021
rich	0	3	0.0	0.000621761658031
*sighs*	0	4	0.0	0.000829015544041
green,	0	1	0.0	0.00020725388601
09050000301.,,	1	0	0.00133689839572	0.0
lick	0	3	0.0	0.000621761658031
pocked	0	1	0.0	0.00020725388601
Account	16	0	0.0213903743316	0.0
memories!	0	1	0.0	0.00020725388601
twenty,,	0	1	0.0	0.00020725388601
cme	0	1	0.0	0.00020725388601
losers,,	0	1	0.0	0.00020725388601
sarcasm..	0	1	0.0	0.00020725388601
+CHEER	0	1	0.0	0.00020725388601
jam,	0	1	0.0	0.00020725388601
hrs.,,	0	1	0.0	0.00020725388601
meeting,	0	3	0.0	0.000621761658031
lies,	0	1	0.0	0.00020725388601
uworld	0	1	0.0	0.00020725388601
X	3	1	0.00401069518717	0.00020725388601
early..	0	2	0.0	0.000414507772021
tips	1	0	0.00133689839572	0.0
Common.	0	1	0.0	0.00020725388601
atHome	0	1	0.0	0.00020725388601
boring.,,	0	1	0.0	0.00020725388601
lesson?	0	1	0.0	0.00020725388601
SEND	0	1	0.0	0.00020725388601
BIRD	0	1	0.0	0.00020725388601
sch?,,	0	1	0.0	0.00020725388601
men.	1	0	0.00133689839572	0.0
toaday	0	1	0.0	0.00020725388601
bus.	0	3	0.0	0.000621761658031
kid.	0	1	0.0	0.00020725388601
Siva	0	1	0.0	0.00020725388601
them.	2	4	0.00267379679144	0.000829015544041
them,	0	1	0.0	0.00020725388601
degrees.,,	0	1	0.0	0.00020725388601
OKDEN	0	1	0.0	0.00020725388601
lesson,	0	1	0.0	0.00020725388601
respond	1	4	0.00133689839572	0.000829015544041
www.ldew.com1win150ppmx3age16	1	0	0.00133689839572	0.0
FILTH	1	0	0.00133689839572	0.0
disaster	1	0	0.00133689839572	0.0
babyjontet!	0	1	0.0	0.00020725388601
med	2	1	0.00267379679144	0.00020725388601
wasting.,,	0	1	0.0	0.00020725388601
mcr,,	0	1	0.0	0.00020725388601
vote?,,	0	1	0.0	0.00020725388601
Mite	0	1	0.0	0.00020725388601
Chikku,	0	1	0.0	0.00020725388601
goodnight	0	1	0.0	0.00020725388601
sparkling	1	0	0.00133689839572	0.0
result	0	3	0.0	0.000621761658031
WORRIED!x,,	0	1	0.0	0.00020725388601
Seem	0	1	0.0	0.00020725388601
John	0	4	0.0	0.000829015544041
eerulli	0	1	0.0	0.00020725388601
best	5	27	0.00668449197861	0.00559585492228
82468,,	2	0	0.00267379679144	0.0
lotz	0	1	0.0	0.00020725388601
lives.	0	2	0.0	0.000414507772021
Cust	2	0	0.00267379679144	0.0
k.i	0	1	0.0	0.00020725388601
lots	1	12	0.00133689839572	0.00248704663212
lotr	0	1	0.0	0.00020725388601
69101.	1	0	0.00133689839572	0.0
www.Ldew.com	1	0	0.00133689839572	0.0
stamps	0	3	0.0	0.000621761658031
buying...	0	1	0.0	0.00020725388601
month,,	0	2	0.0	0.000414507772021
bottom...,,	0	1	0.0	0.00020725388601
side	0	7	0.0	0.00145077720207
who's	0	3	0.0	0.000621761658031
never	1	31	0.00133689839572	0.00642487046632
nature	0	2	0.0	0.000414507772021
rolled	0	1	0.0	0.00020725388601
rajini	0	1	0.0	0.00020725388601
relation..	0	1	0.0	0.00020725388601
shouting..,,	0	1	0.0	0.00020725388601
GOODTIME!OLI	0	1	0.0	0.00020725388601
wtc	0	1	0.0	0.00020725388601
wtf	0	2	0.0	0.000414507772021
wth	0	1	0.0	0.00020725388601
panalam...but	0	1	0.0	0.00020725388601
tv,,	0	2	0.0	0.000414507772021
fetch?,,	0	1	0.0	0.00020725388601
info@txt82228.co.uk,,	1	0	0.00133689839572	0.0
accident	0	1	0.0	0.00020725388601
job!,,	0	1	0.0	0.00020725388601
Ta's	0	1	0.0	0.00020725388601
Wednesday.	0	1	0.0	0.00020725388601
country	4	0	0.00534759358289	0.0
me..!''	0	1	0.0	0.00020725388601
SP,,	1	0	0.00133689839572	0.0
oso?,,	0	1	0.0	0.00020725388601
Brief	0	1	0.0	0.00020725388601
today's	0	4	0.0	0.000829015544041
negative	0	1	0.0	0.00020725388601
Nah,	0	3	0.0	0.000621761658031
Oh...i	0	1	0.0	0.00020725388601
planned	0	4	0.0	0.000829015544041
lookin	1	4	0.00133689839572	0.000829015544041
tomarrow	0	1	0.0	0.00020725388601
login	1	2	0.00133689839572	0.000414507772021
argue	0	4	0.0	0.000829015544041
directly.	0	1	0.0	0.00020725388601
down...,,	0	1	0.0	0.00020725388601
30th	1	0	0.00133689839572	0.0
25.	1	0	0.00133689839572	0.0
itried2tell	0	1	0.0	0.00020725388601
BCK	0	1	0.0	0.00020725388601
option,,	0	1	0.0	0.00020725388601
money.	0	6	0.0	0.00124352331606
\Gimme	0	1	0.0	0.00020725388601
money,	0	3	0.0	0.000621761658031
2nd	20	10	0.0267379679144	0.0020725388601
happenin	0	1	0.0	0.00020725388601
Pathaya	0	1	0.0	0.00020725388601
darlin	0	7	0.0	0.00145077720207
diff	0	3	0.0	0.000621761658031
Sorry	1	49	0.00133689839572	0.0101554404145
her,who	0	1	0.0	0.00020725388601
trip,,	0	1	0.0	0.00020725388601
9ja	0	2	0.0	0.000414507772021
cooking.	0	3	0.0	0.000621761658031
Weightloss!	0	1	0.0	0.00020725388601
Sitting	0	2	0.0	0.000414507772021
fri	0	8	0.0	0.00165803108808
fro	0	1	0.0	0.00020725388601
frm	0	11	0.0	0.00227979274611
.	13	209	0.0173796791444	0.0433160621762
*covers	0	1	0.0	0.00020725388601
much	1	80	0.00133689839572	0.0165803108808
wuld	0	1	0.0	0.00020725388601
laptop...	0	1	0.0	0.00020725388601
Blank	0	1	0.0	0.00020725388601
only:-)..,,	0	1	0.0	0.00020725388601
life	2	34	0.00267379679144	0.00704663212435
